make,vehicle_class,engine_liters,cylinders,transmission,fuel_type,fuel_consumption_liters_100km,co2_emissions,co2_bins
acura,suv: small,3.5,6,as9,z,10.8,252,"Surcharge of $20,000"
acura,two-seater,3.5,6,am9,z,11,261,"Surcharge of $20,000"
acura,suv: small,2,4,as10,z,10.3,242,"Surcharge of $20,000"
acura,compact,2.4,4,am8,z,8.7,205,"Surcharge of $20,000"
acura,compact,3.5,6,as9,z,10.3,240,"Surcharge of $20,000"
alfa romeo,two-seater,1.8,4,am6,z,8.4,197,"Surcharge of $20,000"
alfa romeo,mid-size,2.9,6,a8,z,11.9,280,"Surcharge of $20,000"
alfa romeo,suv: small,2.9,6,a8,z,12.4,292,"Surcharge of $20,000"
aston martin,subcompact,6,12,a8,z,14.1,332,"Surcharge of $20,000"
aston martin,minicompact,6,12,a8,z,14.7,346,"Surcharge of $20,000"
aston martin,two-seater,4,8,a8,z,11.2,264,"Surcharge of $20,000"
audi,subcompact,2,4,am7,x,8.1,188,"Surcharge of $20,000"
audi,subcompact,2,4,am7,x,9.6,225,"Surcharge of $20,000"
audi,subcompact,2,4,am7,x,9.5,221,"Surcharge of $20,000"
audi,compact,2,4,am7,z,7.8,182,"Surcharge of $10,000"
audi,compact,2,4,am7,z,8.7,204,"Surcharge of $20,000"
audi,station wagon: small,2,4,am7,z,9.5,221,"Surcharge of $20,000"
audi,subcompact,2,4,am7,z,8.7,204,"Surcharge of $20,000"
audi,subcompact,2,4,am7,z,8.7,204,"Surcharge of $20,000"
audi,mid-size,2,4,am7,z,8.7,204,"Surcharge of $20,000"
audi,mid-size,3,6,am7,z,9.6,224,"Surcharge of $20,000"
audi,mid-size,3,6,am7,z,9.6,224,"Surcharge of $20,000"
audi,full-size,3,6,as8,z,10.8,252,"Surcharge of $20,000"
audi,suv: small,2,4,am7,z,9.9,230,"Surcharge of $20,000"
audi,suv: standard,2,4,as8,z,11,258,"Surcharge of $20,000"
audi,suv: standard,3,6,as8,z,11.1,260,"Surcharge of $20,000"
audi,suv: standard,3,6,as8,z,12.5,294,"Surcharge of $20,000"
audi,subcompact,2.5,5,am7,z,10.6,247,"Surcharge of $20,000"
audi,subcompact,2.9,6,as8,z,11.3,262,"Surcharge of $20,000"
audi,mid-size,2.9,6,as8,z,11.5,268,"Surcharge of $20,000"
audi,compact,3,6,as8,z,9.8,230,"Surcharge of $20,000"
audi,subcompact,3,6,as8,z,9.8,230,"Surcharge of $20,000"
audi,subcompact,3,6,as8,z,9.9,234,"Surcharge of $20,000"
audi,mid-size,3,6,as8,z,9.8,230,"Surcharge of $20,000"
audi,suv: small,3,6,as8,z,11.5,270,"Surcharge of $20,000"
audi,subcompact,2,4,am7,x,9.2,213,"Surcharge of $20,000"
audi,two-seater,2,4,am7,x,9.2,213,"Surcharge of $20,000"
audi,subcompact,2.5,5,am7,z,10.3,241,"Surcharge of $20,000"
bmw,subcompact,2,4,as8,z,8.8,207,"Surcharge of $20,000"
bmw,subcompact,2,4,as8,z,8.6,202,"Surcharge of $20,000"
bmw,compact,2,4,as8,z,8.3,194,"Surcharge of $20,000"
bmw,full-size,2,4,as8,z,8.8,207,"Surcharge of $20,000"
bmw,station wagon: small,2,4,as8,z,8.8,207,"Surcharge of $20,000"
bmw,compact,2,4,as8,z,8.8,207,"Surcharge of $20,000"
bmw,compact,2,4,as8,z,8.8,207,"Surcharge of $20,000"
bmw,compact,3,6,as8,z,9.4,227,"Surcharge of $20,000"
bmw,compact,3,6,m6,z,11,256,"Surcharge of $20,000"
bmw,subcompact,3,6,as8,z,10,235,"Surcharge of $20,000"
bmw,compact,3,6,as8,z,9.7,228,"Surcharge of $20,000"
bmw,compact,3,6,m6,z,11,256,"Surcharge of $20,000"
bmw,compact,3,6,as8,z,9.7,228,"Surcharge of $20,000"
bmw,mid-size,2,4,as8,z,8.8,207,"Surcharge of $20,000"
bmw,mid-size,3,6,as8,z,9.8,231,"Surcharge of $20,000"
bmw,compact,3,6,as8,z,10.5,248,"Surcharge of $20,000"
bmw,full-size,3,6,as8,z,10.3,241,"Surcharge of $20,000"
bmw,compact,4.4,8,as8,z,12,282,"Surcharge of $20,000"
bmw,full-size,4.4,8,as8,z,11.5,269,"Surcharge of $20,000"
bmw,full-size,4.4,8,as8,z,12,282,"Surcharge of $20,000"
bmw,compact,4.4,8,as8,z,12,282,"Surcharge of $20,000"
bmw,full-size,4.4,8,as8,z,12,282,"Surcharge of $20,000"
bmw,subcompact,3,6,am7,z,12.6,294,"Surcharge of $20,000"
bmw,subcompact,3,6,as8,z,9.7,227,"Surcharge of $20,000"
bmw,subcompact,3,6,m6,z,11,256,"Surcharge of $20,000"
bmw,subcompact,3,6,as8,z,9.7,227,"Surcharge of $20,000"
bmw,subcompact,3,6,m6,z,11,256,"Surcharge of $20,000"
bmw,subcompact,3,6,as8,z,9.7,227,"Surcharge of $20,000"
bmw,subcompact,3,6,m6,z,11,256,"Surcharge of $20,000"
bmw,subcompact,3,6,as8,z,9.8,229,"Surcharge of $20,000"
bmw,subcompact,3,6,as8,z,9.8,229,"Surcharge of $20,000"
bmw,subcompact,3,6,as8,z,9.8,229,"Surcharge of $20,000"
bmw,compact,3,6,am7,z,12.6,294,"Surcharge of $20,000"
bmw,compact,3,6,am7,z,12.6,294,"Surcharge of $20,000"
bmw,compact,3,6,am7,z,12.6,294,"Surcharge of $20,000"
bmw,mid-size,4.4,8,as8,z,13.9,324,"Surcharge of $20,000"
bmw,mid-size,4.4,8,as8,z,13.9,324,"Surcharge of $20,000"
bmw,mid-size,4.4,8,as8,z,11.5,269,"Surcharge of $20,000"
bmw,compact,4.4,8,am7,z,14.7,344,"Surcharge of $20,000"
bmw,full-size,6.6,12,as8,z,15.1,355,"Surcharge of $20,000"
bmw,subcompact,4.4,8,as8,z,11.6,270,"Surcharge of $20,000"
