make,vehicle_class,engine_liters,cylinders,transmission,fuel_type,fuel_consumption_liters_100km,co2_emissions,co2_bins
0,0,3.5,6.0,0,0,10.8,252.0,0
0,1,3.5,6.0,1,0,11.0,261.0,0
0,0,2.0,4.0,0,0,10.3,242.0,0
0,2,2.4,4.0,1,0,8.7,205.0,0
0,2,3.5,6.0,0,0,10.3,240.0,0
1,1,1.8,4.0,1,0,8.4,197.0,0
1,3,2.9,6.0,2,0,11.9,280.0,0
1,0,2.9,6.0,2,0,12.4,292.0,0
2,4,6.0,12.0,2,0,14.1,332.0,0
2,5,6.0,12.0,2,0,14.7,346.0,0
2,1,4.0,8.0,2,0,11.2,264.0,0
3,4,2.0,4.0,1,1,8.1,188.0,0
3,4,2.0,4.0,1,1,9.6,225.0,0
3,4,2.0,4.0,1,1,9.5,221.0,0
3,2,2.0,4.0,1,0,7.8,182.0,1
3,2,2.0,4.0,1,0,8.7,204.0,0
3,6,2.0,4.0,1,0,9.5,221.0,0
3,4,2.0,4.0,1,0,8.7,204.0,0
3,4,2.0,4.0,1,0,8.7,204.0,0
3,3,2.0,4.0,1,0,8.7,204.0,0
3,3,3.0,6.0,1,0,9.6,224.0,0
3,3,3.0,6.0,1,0,9.6,224.0,0
3,7,3.0,6.0,0,0,10.8,252.0,0
3,0,2.0,4.0,1,0,9.9,230.0,0
3,8,2.0,4.0,0,0,11.0,258.0,0
3,8,3.0,6.0,0,0,11.1,260.0,0
3,8,3.0,6.0,0,0,12.5,294.0,0
3,4,2.5,5.0,1,0,10.6,247.0,0
3,4,2.9,6.0,0,0,11.3,262.0,0
3,3,2.9,6.0,0,0,11.5,268.0,0
3,2,3.0,6.0,0,0,9.8,230.0,0
3,4,3.0,6.0,0,0,9.8,230.0,0
3,4,3.0,6.0,0,0,9.9,234.0,0
3,3,3.0,6.0,0,0,9.8,230.0,0
3,0,3.0,6.0,0,0,11.5,270.0,0
3,4,2.0,4.0,1,1,9.2,213.0,0
3,1,2.0,4.0,1,1,9.2,213.0,0
3,4,2.5,5.0,1,0,10.3,241.0,0
4,4,2.0,4.0,0,0,8.8,207.0,0
4,4,2.0,4.0,0,0,8.6,202.0,0
4,2,2.0,4.0,0,0,8.3,194.0,0
4,7,2.0,4.0,0,0,8.8,207.0,0
4,6,2.0,4.0,0,0,8.8,207.0,0
4,2,2.0,4.0,0,0,8.8,207.0,0
4,2,2.0,4.0,0,0,8.8,207.0,0
4,2,3.0,6.0,0,0,9.4,227.0,0
4,2,3.0,6.0,3,0,11.0,256.0,0
4,4,3.0,6.0,0,0,10.0,235.0,0
4,2,3.0,6.0,0,0,9.7,228.0,0
4,2,3.0,6.0,3,0,11.0,256.0,0
4,2,3.0,6.0,0,0,9.7,228.0,0
4,3,2.0,4.0,0,0,8.8,207.0,0
4,3,3.0,6.0,0,0,9.8,231.0,0
4,2,3.0,6.0,0,0,10.5,248.0,0
4,7,3.0,6.0,0,0,10.3,241.0,0
4,2,4.4,8.0,0,0,12.0,282.0,0
4,7,4.4,8.0,0,0,11.5,269.0,0
4,7,4.4,8.0,0,0,12.0,282.0,0
4,2,4.4,8.0,0,0,12.0,282.0,0
4,7,4.4,8.0,0,0,12.0,282.0,0
4,4,3.0,6.0,1,0,12.6,294.0,0
4,4,3.0,6.0,0,0,9.7,227.0,0
4,4,3.0,6.0,3,0,11.0,256.0,0
4,4,3.0,6.0,0,0,9.7,227.0,0
4,4,3.0,6.0,3,0,11.0,256.0,0
4,4,3.0,6.0,0,0,9.7,227.0,0
4,4,3.0,6.0,3,0,11.0,256.0,0
4,4,3.0,6.0,0,0,9.8,229.0,0
4,4,3.0,6.0,0,0,9.8,229.0,0
4,4,3.0,6.0,0,0,9.8,229.0,0
4,2,3.0,6.0,1,0,12.6,294.0,0
4,2,3.0,6.0,1,0,12.6,294.0,0
4,2,3.0,6.0,1,0,12.6,294.0,0
4,3,4.4,8.0,0,0,13.9,324.0,0
4,3,4.4,8.0,0,0,13.9,324.0,0
4,3,4.4,8.0,0,0,11.5,269.0,0
4,2,4.4,8.0,1,0,14.7,344.0,0
4,7,6.6,12.0,0,0,15.1,355.0,0
4,4,4.4,8.0,0,0,11.6,270.0,0
